Symbol,Open
MMM,104.22000122070312
MMM,104.75
MMM,104.05999755859376
MMM,105.0
MMM,104.55999755859376
MMM,102.72000122070312
MMM,112.69000244140624
MMM,128.0
MMM,125.8499984741211
MMM,126.62999725341795
AKAM,97.23999786376952
AKAM,96.0500030517578
AKAM,95.47000122070312
AKAM,96.1500015258789
AKAM,96.0999984741211
AKAM,95.43000030517578
AKAM,96.79000091552734
AKAM,98.9499969482422
AKAM,97.66000366210938
AKAM,98.12000274658205
ALB,94.61000061035156
ALB,92.73999786376952
ALB,93.12999725341795
ALB,92.37999725341795
ALB,91.0
ALB,90.5500030517578
ALB,92.54000091552734
ALB,91.41000366210938
ALB,91.02999877929688
ALB,91.91999816894533
LNT,55.34999847412109
LNT,55.130001068115234
LNT,54.959999084472656
LNT,55.0
LNT,54.900001525878906
LNT,56.04999923706055
LNT,56.09000015258789
LNT,56.130001068115234
LNT,55.68000030517578
LNT,55.9900016784668
AON,298.7200012207031
AON,301.42999267578125
AON,296.6300048828125
AON,299.42999267578125
AON,300.0
AON,299.739990234375
AON,307.0
AON,318.3900146484375
AON,322.260009765625
AON,328.0799865722656
AVB,206.94000244140625
AVB,210.009994506836
AVB,207.3300018310547
AVB,209.07000732421875
AVB,208.5
AVB,206.47000122070312
AVB,203.1100006103516
AVB,206.3800048828125
AVB,208.8999938964844
AVB,205.75
BA,184.2400054931641
BA,181.3999938964844
BA,181.3600006103516
BA,179.10000610351562
BA,185.6199951171875
BA,179.4499969482422
BA,185.8600006103516
BA,186.6999969482422
BA,186.1000061035156
BA,189.8800048828125
CNP,28.46999931335449
CNP,29.01000022888184
CNP,29.030000686645508
CNP,28.920000076293945
CNP,29.0
CNP,29.14999961853028
CNP,29.030000686645508
CNP,29.420000076293945
CNP,29.239999771118164
CNP,28.5
CI,343.0599975585937
CI,343.6700134277344
CI,335.760009765625
CI,336.04998779296875
CI,337.6700134277344
CI,343.989990234375
CI,342.69000244140625
CI,343.6499938964844
CI,346.010009765625
CI,349.25
KO,64.80000305175781
KO,65.63999938964844
KO,65.25
KO,65.43000030517578
KO,65.08999633789062
KO,66.04000091552734
KO,66.06999969482422
KO,66.87999725341797
KO,66.4800033569336
KO,67.5
COO,90.16000366210938
COO,91.8000030517578
COO,91.54000091552734
COO,91.4499969482422
COO,90.98999786376952
COO,92.3499984741211
COO,92.5999984741211
COO,93.30999755859376
COO,92.45999908447266
COO,92.69000244140624
GLW,45.68999862670898
GLW,45.08000183105469
GLW,44.540000915527344
GLW,44.29999923706055
GLW,43.810001373291016
GLW,43.88999938964844
GLW,43.25
GLW,43.0
GLW,39.54999923706055
GLW,40.709999084472656
DPZ,409.7999877929688
DPZ,407.3399963378906
DPZ,403.1199951171875
DPZ,418.7699890136719
DPZ,422.0
DPZ,423.8399963378906
DPZ,425.0
DPZ,422.6499938964844
DPZ,427.8200073242188
DPZ,435.0
DOW,55.08000183105469
DOW,54.83000183105469
DOW,54.08000183105469
DOW,54.13999938964844
DOW,54.11000061035156
DOW,50.77999877929688
DOW,52.869998931884766
DOW,53.0
DOW,52.900001525878906
DOW,54.150001525878906
ECL,242.6300048828125
ECL,243.1000061035156
ECL,244.47000122070312
ECL,247.3999938964844
ECL,246.75
ECL,245.1000061035156
ECL,244.67999267578125
ECL,245.94000244140625
ECL,222.0500030517578
ECL,234.35499572753903
EW,86.80000305175781
EW,87.04000091552734
EW,86.68000030517578
EW,87.66999816894531
EW,86.97000122070312
EW,64.01000213623047
EW,61.560001373291016
EW,63.959999084472656
EW,62.77000045776367
EW,63.70000076293945
ENPH,113.62000274658205
ENPH,107.73999786376952
ENPH,109.13999938964844
ENPH,102.9000015258789
ENPH,109.26000213623048
ENPH,116.05999755859376
ENPH,120.29000091552734
ENPH,119.08000183105467
ENPH,114.22000122070312
ENPH,111.37000274658205
EQR,69.33000183105469
EQR,70.58999633789062
EQR,70.0
EQR,71.0
EQR,71.05000305175781
EQR,70.20999908447266
EQR,69.93000030517578
EQR,70.9000015258789
EQR,71.5
EQR,70.2300033569336
HON,219.97999572753903
HON,217.72999572753903
HON,215.2700042724609
HON,216.97999572753903
HON,217.3800048828125
HON,202.7899932861328
HON,203.02999877929688
HON,203.52999877929688
HON,201.9499969482422
HON,203.759994506836
IDXX,489.0299987792969
IDXX,475.55999755859375
IDXX,474.8999938964844
IDXX,477.9100036621094
IDXX,469.7799987792969
IDXX,476.1099853515625
IDXX,476.2300109863281
IDXX,469.7099914550781
IDXX,475.0
IDXX,477.0
IP,45.790000915527344
IP,45.70000076293945
IP,45.900001525878906
IP,46.09000015258789
IP,45.540000915527344
IP,44.650001525878906
IP,46.75
IP,46.88999938964844
IP,46.52999877929688
IP,46.02999877929688
IPG,30.14999961853028
IPG,30.170000076293945
IPG,29.049999237060547
IPG,29.549999237060547
IPG,30.0
IPG,29.770000457763672
IPG,30.61000061035156
IPG,31.059999465942383
IPG,31.309999465942383
IPG,32.04999923706055
INTU,661.6599731445312
INTU,638.780029296875
INTU,643.6099853515625
INTU,643.6799926757812
INTU,629.8200073242188
INTU,629.8699951171875
INTU,632.5999755859375
INTU,637.4500122070312
INTU,640.0
INTU,652.0
LDOS,150.52999877929688
LDOS,151.60000610351562
LDOS,150.36000061035156
LDOS,153.24000549316406
LDOS,154.52000427246094
LDOS,150.63999938964844
LDOS,152.1999969482422
LDOS,150.47999572753906
LDOS,153.0
LDOS,148.0
LEN,170.0800018310547
LEN,169.72999572753906
LEN,169.9499969482422
LEN,171.5
LEN,172.07000732421875
LEN,169.89999389648438
LEN,175.25999450683594
LEN,177.32000732421875
LEN,178.57000732421875
LEN,180.6499938964844
LLY,907.030029296875
LLY,867.6599731445312
LLY,864.7999877929688
LLY,870.0
LLY,872.5
LLY,847.0
LLY,811.8699951171875
LLY,814.010009765625
LLY,815.1799926757812
LLY,800.1699829101562
MAR,244.7700042724609
MAR,245.0
MAR,243.6100006103516
MAR,242.6600036621093
MAR,241.2400054931641
MAR,235.0
MAR,235.6000061035156
MAR,237.94000244140625
MAR,239.0
MAR,230.0
MTCH,35.58000183105469
MTCH,34.790000915527344
MTCH,34.790000915527344
MTCH,34.290000915527344
MTCH,34.040000915527344
MTCH,33.060001373291016
MTCH,33.29999923706055
MTCH,33.540000915527344
MTCH,33.18000030517578
MTCH,37.79999923706055
MCK,581.0
MCK,586.5599975585938
MCK,580.22998046875
MCK,586.3900146484375
MCK,588.530029296875
MCK,593.1099853515625
MCK,597.22998046875
MCK,601.4000244140625
MCK,606.1300048828125
MCK,613.239990234375
MDLZ,66.69000244140625
MDLZ,67.0199966430664
MDLZ,67.16000366210938
MDLZ,66.37000274658203
MDLZ,66.06999969482422
MDLZ,66.73999786376953
MDLZ,66.0
MDLZ,66.20999908447266
MDLZ,66.80000305175781
MDLZ,69.05000305175781
MSCI,500.9200134277344
MSCI,499.0
MSCI,499.9400024414063
MSCI,549.989990234375
MSCI,544.8699951171875
MSCI,535.2899780273438
MSCI,539.0
MSCI,540.5800170898438
MSCI,545.2000122070312
MSCI,548.4299926757812
NTAP,128.32000732421875
NTAP,126.4499969482422
NTAP,127.5
NTAP,128.27000427246094
NTAP,128.63999938964844
NTAP,125.56999969482422
NTAP,126.9000015258789
NTAP,126.94000244140624
NTAP,125.8000030517578
NTAP,125.05999755859376
PANW,329.2699890136719
PANW,331.9599914550781
PANW,334.45001220703125
PANW,334.989990234375
PANW,334.0
PANW,326.5599975585937
PANW,323.2300109863281
PANW,327.5
PANW,325.239990234375
PANW,320.6449890136719
PAYC,160.67999267578125
PAYC,154.9600067138672
PAYC,159.42999267578125
PAYC,160.3699951171875
PAYC,165.16000366210938
PAYC,159.25
PAYC,164.0399932861328
PAYC,164.7899932861328
PAYC,164.24000549316406
PAYC,167.6300048828125
PG,168.8000030517578
PG,167.97000122070312
PG,167.92999267578125
PG,168.11000061035156
PG,166.32000732421875
PG,168.32000732421875
PG,167.25
PG,168.85000610351562
PG,161.7899932861328
PG,160.80999755859375
PLD,122.5
PLD,122.95999908447266
PLD,124.6500015258789
PLD,125.95999908447266
PLD,125.41000366210938
PLD,123.73999786376952
PLD,121.18000030517578
PLD,122.88999938964844
PLD,124.08000183105467
PLD,126.0999984741211
PSA,308.7099914550781
PSA,304.8500061035156
PSA,302.4599914550781
PSA,303.9700012207031
PSA,302.3399963378906
PSA,297.5
PSA,296.25
PSA,300.510009765625
PSA,303.8900146484375
PSA,289.78399658203125
QCOM,193.77999877929688
QCOM,191.69000244140625
QCOM,191.0
QCOM,194.1999969482422
QCOM,189.33999633789065
QCOM,179.6199951171875
QCOM,179.00999450683594
QCOM,181.5
QCOM,179.33999633789062
QCOM,175.6300048828125
RL,170.60000610351562
RL,167.13999938964844
RL,166.63999938964844
RL,167.49000549316406
RL,166.67999267578125
RL,164.1300048828125
RL,163.7899932861328
RL,168.33999633789062
RL,174.13999938964844
RL,175.0
RJF,113.18000030517578
RJF,111.0
RJF,109.23999786376952
RJF,109.80999755859376
RJF,112.16000366210938
RJF,113.0
RJF,118.27999877929688
RJF,116.70999908447266
RJF,116.27999877929688
RJF,116.0500030517578
RVTY,111.86000061035156
RVTY,109.98999786376952
RVTY,109.01000213623048
RVTY,112.29000091552734
RVTY,110.33999633789062
RVTY,111.4000015258789
RVTY,113.94000244140624
RVTY,121.44000244140624
RVTY,126.0199966430664
RVTY,127.1999969482422
SNA,270.0
SNA,272.0199890136719
SNA,272.0
SNA,273.7900085449219
SNA,273.7099914550781
SNA,270.45001220703125
SNA,276.6400146484375
SNA,280.8299865722656
SNA,282.32000732421875
SNA,286.0
SO,81.05999755859375
SO,81.83000183105469
SO,81.4800033569336
SO,81.73999786376953
SO,82.05000305175781
SO,82.97000122070312
SO,81.94999694824219
SO,82.41999816894531
SO,82.63999938964844
SO,82.94000244140625
TSN,60.04999923706055
TSN,60.59000015258789
TSN,59.63999938964844
TSN,59.5099983215332
TSN,59.22999954223633
TSN,59.540000915527344
TSN,60.36000061035156
TSN,60.83000183105469
TSN,60.650001525878906
TSN,60.84999847412109
UHS,183.509994506836
UHS,183.0200042724609
UHS,181.3300018310547
UHS,184.3699951171875
UHS,187.0
UHS,192.19000244140625
UHS,209.5800018310547
UHS,215.6499938964844
UHS,217.1199951171875
UHS,215.9900054931641
V,272.2900085449219
V,270.32000732421875
V,267.2300109863281
V,267.5299987792969
V,256.07000732421875
V,255.38999938964844
V,255.58999633789065
V,260.32000732421875
V,263.2300109863281
V,264.5400085449219
WST,324.739990234375
WST,319.4800109863281
WST,321.29998779296875
WST,322.0899963378906
WST,317.7699890136719
WST,282.3999938964844
WST,279.6300048828125
WST,286.4800109863281
WST,287.69000244140625
WST,299.3999938964844
WY,30.25
WY,30.479999542236328
WY,30.190000534057617
WY,30.40999984741211
WY,30.309999465942383
WY,29.989999771118164
WY,30.920000076293945
WY,31.299999237060547
WY,31.290000915527344
WY,31.63999938964844
WYNN,84.44999694824219
WYNN,83.4800033569336
WYNN,83.95999908447266
WYNN,83.2300033569336
WYNN,83.45999908447266
WYNN,80.69000244140625
WYNN,81.41999816894531
WYNN,81.69999694824219
WYNN,82.23999786376953
WYNN,82.87000274658203
